Cell[i]  Cell[j]  hitPeriod[min]  hitROS[m/min]
155 136 269.0 73.2685247036
155 156 292.0 4.00997293583
136 117 271.0 73.2685247036
136 137 294.0 4.00997293583
124 104 294.0 4.00997293583
124 103 395.0 1.0451222239
229 230 294.0 4.00997293583
229 250 395.0 1.0451222239
117 98 273.0 73.2685247036
117 118 296.0 4.00997293583
98 79 275.0 73.2685247036
98 99 298.0 4.00997293583
79 60 277.0 73.2685247036
79 80 300.0 4.00997293583
213 194 288.0 73.2685247036
213 214 312.0 3.6823731231
45 26 288.0 73.2685247036
45 25 312.0 3.6823731231
194 175 290.0 73.2685247036
26 7 290.0 73.2685247036
175 156 292.0 73.2685247036
156 137 294.0 73.2685247036
104 84 321.0 3.6823731231
104 83 432.0 0.3601320548
137 118 296.0 73.2685247036
230 231 321.0 3.6823731231
230 251 432.0 0.3601320548
118 99 298.0 73.2685247036
99 80 300.0 73.2685247036
163 143 337.0 3.6823731231
247 248 337.0 3.6823731231
25 6 314.0 72.4509887727
25 5 340.0 3.6823731231
214 195 314.0 72.4509887727
214 215 340.0 3.6823731231
195 176 316.0 72.4509887727
195 196 342.0 3.6823731231
176 157 318.0 72.4509887727
176 177 344.0 3.6823731231
157 138 320.0 72.4509887727
157 158 346.0 3.6823731231
138 119 322.0 72.4509887727
138 139 348.0 3.6823731231
84 64 349.0 3.6823731231
231 232 349.0 3.6823731231
119 100 324.0 72.4509887727
119 120 350.0 3.6823731231
248 249 365.0 3.44445301033
143 123 365.0 3.44445301033
215 196 342.0 72.4509887727
215 216 368.0 3.44445301033
196 177 344.0 72.4509887727
196 197 370.0 3.44445301033
177 158 346.0 72.4509887727
177 178 372.0 3.44445301033
158 139 348.0 72.4509887727
158 159 375.0 3.44445301033
139 120 350.0 72.4509887727
139 140 377.0 3.44445301033
64 44 378.0 3.44445301033
232 233 378.0 3.44445301033
249 250 395.0 3.44445301033
123 103 395.0 3.44445301033
216 217 398.0 3.44445301033
197 198 400.0 3.44445301033
178 159 375.0 70.1909530035
178 179 402.0 3.44445301033
159 160 405.0 3.44445301033
233 234 408.0 3.44445301033
44 24 408.0 3.44445301033
217 218 444.0 1.01385325192
198 199 451.0 1.01385325192
179 160 405.0 70.1909530035
179 180 458.0 1.01385325192
24 4 478.0 1.01385325192
234 235 478.0 1.01385325192
